name:ID(strain_admin1),:LABEL
Anhui,Admin1
New South Wales,Admin1
Queensland,Admin1
Victoria,Admin1
Beijing,Admin1
Flanders,Admin1
Sao Paulo,Admin1
Sihanoukville,Admin1
British Columbia,Admin1
Ontario,Admin1
Santiago,Admin1
Talca,Admin1
Guangdong,Admin1
Shandong,Admin1
Hubei,Admin1
Chongqing,Admin1
Usti nad Labem,Admin1
England,Admin1
Lapland,Admin1
Helsinki,Admin1
Grand Est,Admin1
Hauts de France,Admin1
Ile de France,Admin1
Normandie,Admin1
Auvergne Rhone Alpes,Admin1
Fujian,Admin1
Baden-Wuerttemberg,Admin1
Bavaria,Admin1
North Rhine Westphalia,Admin1
Zhejiang,Admin1
Henan,Admin1
Hong Kong,Admin1
Kerala,Admin1
Cork,Admin1
Dublin,Admin1
Limerick,Admin1
Lombardy,Admin1
Lazio,Admin1
Aichi,Admin1
Kanagawa,Admin1
Kyoto,Admin1
Nara,Admin1
Osaka,Admin1
Tokyo,Admin1
Jiangsu,Admin1
Jiangxi,Admin1
Luxembourg,Admin1
Mexico City,Admin1
Kathmandu,Admin1
North Brabant,Admin1
Drenthe,Admin1
South Holland,Admin1
North Holland,Admin1
Gelderland,Admin1
Limburg,Admin1
Overijssel,Admin1
Utrecht,Admin1
Flevoland,Admin1
Auckland,Admin1
Lagos,Admin1
Nonthaburi,Admin1
Portugal,Admin1
Scotland,Admin1
Shanghai,Admin1
Sichuan,Admin1
Singapore,Admin1
Gyeonggi,Admin1
Seoul,Admin1
Chungcheongnam,Admin1
South Korea,Admin1
Comunitat Valenciana,Admin1
Småland,Admin1
Zurich,Admin1
Aargau,Admin1
Basel,Admin1
Geneva,Admin1
Ticino,Admin1
Vaud,Admin1
Taiwan,Admin1
Arizona,Admin1
Grand Princess,Admin1
California,Admin1
Diamond Princess,Admin1
Illinois,Admin1
Massachusetts,Admin1
Minnesota,Admin1
New York,Admin1
Texas,Admin1
Washington,Admin1
Wisconsin,Admin1
Thanh Hoa,Admin1
Wales,Admin1
Yunnan,Admin1
Guangxi,Admin1
